request_id,dataset,dataset_path,sample_index,mtp_avg_token_per_step,accepted_draft_tokens_per_step,mtp_avg_verify_tokens_per_step,prompt_token_num,out_token_counter,first_token_cost_ms,total_cost_time_ms,pure_decode_time_ms,pure_decode_token_num
low-accept-probe-0,drop,datasets/drop.json,0,1.9393939393939394,0.9393939393939394,4.0,230,128,233.47043991088867,1192.9175853729248,2364.766067825258,256
low-accept-probe-1,drop,datasets/drop.json,1,1.9104477611940298,0.9104477611940298,4.0,230,128,112.92719841003418,1096.9657897949219,2343.974994495511,256
low-accept-probe-2,drop,datasets/drop.json,2,2.169491525423729,1.1694915254237288,3.9322033898305087,227,128,115.58008193969727,966.9017791748047,2034.1522190719843,254
low-accept-probe-3,drop,datasets/drop.json,3,2.245614035087719,1.2456140350877192,4.140350877192983,234,128,81.06565475463867,946.5515613555908,2064.870595932007,260
low-accept-probe-4,drop,datasets/drop.json,4,2.206896551724138,1.206896551724138,3.9310344827586206,236,128,103.82413864135742,940.5267238616943,1991.314080543816,254
low-accept-probe-5,drop,datasets/drop.json,5,2.1333333333333333,1.1333333333333333,3.933333333333333,227,128,105.66449165344238,973.2403755187988,2061.820711940527,254
low-accept-probe-6,drop,datasets/drop.json,6,1.9393939393939394,0.9393939393939394,4.0606060606060606,232,128,113.89327049255371,1096.7040061950684,2343.260457739234,258
low-accept-probe-7,drop,datasets/drop.json,7,1.9692307692307693,0.9692307692307693,4.061538461538461,237,128,103.38044166564941,1071.605920791626,2305.7815469801426,258
low-accept-probe-8,drop,datasets/drop.json,8,2.206896551724138,1.206896551724138,4.068965517241379,242,128,103.63912582397461,969.1541194915771,2064.745002426207,258
low-accept-probe-9,drop,datasets/drop.json,9,2.2857142857142856,1.2857142857142856,4.0,237,128,93.1997299194336,915.1451587677002,1954.7567907720804,256
low-accept-probe-10,drop,datasets/drop.json,10,2.169491525423729,1.1694915254237288,4.067796610169491,244,128,60.32586097717285,942.1975612640381,2094.39405426383,258
low-accept-probe-11,drop,datasets/drop.json,11,1.9393939393939394,0.9393939393939394,3.9393939393939394,230,128,101.48835182189941,1057.112455368042,2269.101567566395,254
low-accept-probe-12,drop,datasets/drop.json,12,2.064516129032258,1.064516129032258,3.935483870967742,230,128,91.34149551391602,988.1923198699951,2129.9697030335665,254
low-accept-probe-13,drop,datasets/drop.json,13,2.169491525423729,1.1694915254237288,3.9322033898305087,230,128,123.5816478729248,974.2200374603271,2025.913093239069,254
low-accept-probe-14,drop,datasets/drop.json,14,2.245614035087719,1.2456140350877192,3.9298245614035086,234,128,92.3612117767334,913.9842987060547,1955.2008332684636,254
low-accept-probe-15,drop,datasets/drop.json,15,2.169491525423729,1.1694915254237288,4.0,231,128,72.04961776733398,938.8327598571777,2061.310451477766,256
low-accept-probe-16,drop,datasets/drop.json,16,2.2857142857142856,1.2857142857142856,3.9285714285714284,233,128,110.97407341003418,920.0868606567383,1924.1594169288874,254
low-accept-probe-17,drop,datasets/drop.json,17,2.327272727272727,1.3272727272727272,3.9272727272727272,233,128,92.25940704345703,884.6769332885742,1885.9652085229754,254
low-accept-probe-18,drop,datasets/drop.json,18,2.327272727272727,1.3272727272727272,4.072727272727272,234,128,113.0068302154541,934.720516204834,1958.3735596388578,258
low-accept-probe-19,drop,datasets/drop.json,19,1.8285714285714285,0.8285714285714285,4.0,267,128,127.63285636901855,1155.1382541656494,2445.3499717637897,256
low-accept-probe-20,drop,datasets/drop.json,20,2.098360655737705,1.098360655737705,4.065573770491803,269,128,106.85038566589355,1021.639347076416,2170.4011112451553,258
low-accept-probe-21,drop,datasets/drop.json,21,2.098360655737705,1.098360655737705,4.065573770491803,274,128,102.93078422546387,1011.6102695465088,2162.4498022720218,258
low-accept-probe-22,drop,datasets/drop.json,22,2.1333333333333333,1.1333333333333333,4.0,268,128,121.65689468383789,1002.9642581939697,2094.2101376131177,256
low-accept-probe-23,drop,datasets/drop.json,23,2.2857142857142856,1.2857142857142856,4.071428571428571,270,128,102.96130180358887,941.0631656646729,1990.0276390835643,258
low-accept-probe-24,drop,datasets/drop.json,24,2.245614035087719,1.2456140350877192,4.140350877192983,271,128,92.69499778747559,959.5897197723389,2060.96310634166,260
low-accept-probe-25,drop,datasets/drop.json,25,2.1333333333333333,1.1333333333333333,3.933333333333333,270,128,92.66138076782227,959.8772525787354,2059.6715537831187,254
low-accept-probe-26,drop,datasets/drop.json,26,2.327272727272727,1.3272727272727272,3.9272727272727272,276,128,103.04832458496094,895.8125114440918,1884.2414105311036,254
low-accept-probe-27,drop,datasets/drop.json,27,1.8823529411764706,0.8823529411764706,3.9411764705882355,267,128,101.1812686920166,1085.3407382965088,2339.68941681087,254
low-accept-probe-28,drop,datasets/drop.json,28,2.098360655737705,1.098360655737705,4.065573770491803,273,128,107.22827911376953,1017.5275802612305,2170.175596140325,258
low-accept-probe-29,drop,datasets/drop.json,29,1.9692307692307693,0.9692307692307693,3.9384615384615387,269,128,130.1887035369873,1071.2106227874756,2234.3181427568197,254
low-accept-probe-30,drop,datasets/drop.json,30,2.206896551724138,1.206896551724138,3.9310344827586206,271,128,111.85932159423828,950.3574371337891,1989.7242030128837,254
low-accept-probe-31,drop,datasets/drop.json,31,2.064516129032258,1.064516129032258,3.935483870967742,271,128,93.37067604064941,987.523078918457,2132.7593065798283,254
low-accept-probe-32,drop,datasets/drop.json,32,2.169491525423729,1.1694915254237288,3.9322033898305087,273,128,93.65677833557129,946.8865394592285,2030.7430746033788,254
low-accept-probe-33,drop,datasets/drop.json,33,2.098360655737705,1.098360655737705,4.065573770491803,267,128,116.06860160827637,1026.2320041656494,2170.330049470067,258
